IDMessage;Battery;Value;W/h;amps
;;;61.07;2.33
0;B0;2.79;;
0;B1;2.77;;
0;B2;2.82;;
0;B3;2.76;;
0;B4;2.83;;
0;B5;2.77;;
;;;66.08;1.05
0;B0;2.02;;
0;B1;1.95;;
0;B2;2.02;;
0;B3;1.83;;
0;B4;2.01;;
0;B5;1.85;;
;;;67.29;33.6
0;B0;2.76;;
0;B1;2.75;;
0;B2;2.8;;
0;B3;2.73;;
0;B4;2.8;;
0;B5;2.75;;
;;;69.97;1.94
0;B0;2.8;;
0;B1;2.8;;
0;B2;2.85;;
0;B3;2.78;;
0;B4;2.85;;
0;B5;2.79;;
;;;70.07;0.72
0;B0;2.79;;
0;B1;2.78;;
0;B2;2.82;;
0;B3;2.76;;
0;B4;2.83;;
0;B5;2.75;;
;;;70.65;2.55
0;B0;2.79;;
0;B1;2.78;;
0;B2;2.85;;
0;B3;2.8;;
0;B4;2.84;;
0;B5;2.78;;
;;;72.18;0
0;B0;2.73;;
0;B1;2.7;;
0;B2;2.76;;
0;B3;2.68;;
0;B4;2.75;;
0;B5;2.69;;
;;;72.72;5.61
0;B0;2.58;;
0;B1;2.55;;
0;B2;2.62;;
0;B3;2.54;;
0;B4;2.65;;
0;B5;2.54;;
;;;74.01;12.05
0;B0;2.45;;
0;B1;2.38;;
0;B2;2.47;;
0;B3;2.35;;
0;B4;2.49;;
0;B5;2.37;;
;;;75.23;19.1
0;B0;2.34;;
0;B1;2.28;;
0;B2;2.38;;
0;B3;2.24;;
0;B4;2.37;;
0;B5;2.26;;
;;;75.91;24.83
0;B0;2.72;;
0;B1;2.69;;
0;B2;2.76;;
0;B3;2.68;;
0;B4;2.79;;
0;B5;2.7;;
;;;79.15;2.33
0;B0;2.81;;
0;B1;2.8;;
0;B2;2.87;;
0;B3;2.83;;
0;B4;2.87;;
0;B5;2.8;;
;;;79.23;0.78
0;B0;2.28;;
0;B1;2.16;;
0;B2;2.26;;
0;B3;2.17;;
0;B4;2.24;;
0;B5;2.1;;
;;;81.48;26.38
0;B0;2.79;;
0;B1;2.78;;
0;B2;2.83;;
0;B3;2.77;;
0;B4;2.84;;
0;B5;2.78;;
;;;82.72;0.83
0;B0;2.34;;
0;B1;2.27;;
0;B2;2.36;;
0;B3;2.23;;
