IDMessage;Battery;Value;W/h;amps
0;B2;2.07;;
0;B3;1.95;;
0;B4;2.01;;
0;B5;1.98;;
;;;131.76;26.14
0;B0;2.05;;
0;B1;1.99;;
0;B2;2.07;;
0;B3;1.96;;
0;B4;2.01;;
0;B5;1.98;;
;;;135.87;29.97
0;B0;1.77;;
0;B1;1.67;;
0;B2;1.79;;
0;B3;1.61;;
0;B4;1.70;;
0;B5;1.66;;
;;;139.00;45.19
0;B0;1.85;;
0;B1;1.76;;
0;B2;1.87;;
0;B3;1.72;;
0;B4;1.78;;
0;B5;1.76;;
;;;144.90;37.24
0;B0;1.94;;
0;B1;1.86;;
0;B2;1.97;;
0;B3;1.82;;
0;B4;1.90;;
0;B5;1.87;;
;;;149.33;31.30
0;B0;2.02;;
0;B1;1.96;;
0;B2;2.06;;
0;B3;1.94;;
0;B4;1.98;;
0;B5;1.96;;
;;;153.58;28.08
0;B0;2.00;;
0;B1;1.93;;
0;B2;2.02;;
0;B3;1.89;;
0;B4;1.96;;
0;B5;1.93;;
;;;157.67;27.52
0;B0;2.01;;
0;B1;1.95;;
0;B2;2.04;;
0;B3;1.91;;
0;B4;1.96;;
0;B5;1.94;;
;;;161.95;27.47
0;B0;2.05;;
0;B1;1.97;;
0;B2;2.08;;
0;B3;1.96;;
0;B4;2.01;;
0;B5;1.98;;
;;;166.07;26.80
0;B0;2.64;;
0;B1;2.62;;
0;B2;2.69;;
0;B3;2.64;;
0;B4;2.66;;
0;B5;2.64;;
;;;169.60;0.00
0;B0;2.30;;
0;B1;2.34;;
0;B2;2.37;;
0;B3;2.28;;
0;B4;2.30;;
0;B5;2.28;;
;;;173.16;16.42
0;B0;2.07;;
0;B1;1.99;;
0;B2;2.09;;
0;B3;1.97;;
0;B4;2.02;;
0;B5;2.01;;
;;;176.80;27.03
0;B0;2.67;;
0;B1;2.65;;
0;B2;2.72;;
0;B3;2.66;;
0;B4;2.69;;
0;B5;2.66;;
;;;180.75;0.00
0;B0;2.71;;
0;B1;2.70;;
0;B2;2.76;;
0;B3;2.71;;
0;B4;2.73;;
0;B5;2.71;;
;;;183.11;1.25
0;B0;2.79;;
0;B1;2.78;;
0;B2;2.84;;
0;B3;2.80;;
0;B4;2.81;;
0;B5;2.78;;
;;;183.13;0.00
0;B0;2.81;;
0;B1;2.80;;
0;B2;2.87;;
0;B3;2.82;;
0;B4;2.83;;
0;B5;2.81;;
;;;183.21;0.00
0;B0;2.83;;
0;B1;2.82;;
0;B2;2.89;;
0;B3;2.84;;
0;B4;2.85;;
0;B5;2.83;;
;;;183.23;0.00
0;B0;2.47;;
0;B1;2.46;;
0;B2;2.50;;
0;B3;2.43;;
0;B4;2.49;;
0;B5;2.47;;
;;;189.62;9.75
0;B0;1.82;;
0;B1;1.74;;
0;B2;1.85;;
0;B3;1.67;;
0;B4;1.75;;
0;B5;1.71;;
;;;190.47;42.41
0;B0;2.29;;
0;B1;2.25;;
0;B2;2.33;;
0;B3;2.22;;
0;B4;2.27;;
0;B5;2.24;;
;;;195.37;17.69
0;B0;1.87;;
0;B1;1.80;;
0;B2;1.90;;
0;B3;1.75;;
0;B4;1.82;;
0;B5;1.78;;
;;;200.64;37.19
0;B0;1.91;;
0;B1;1.83;;
0;B2;1.93;;
0;B3;1.79;;
0;B4;1.86;;
0;B5;1.82;;
;;;205.05;31.47
0;B0;2.03;;
0;B1;1.98;;
0;B2;2.07;;
0;B3;1.94;;
0;B4;2.00;;
0;B5;1.97;;
;;;210.41;25.86
0;B0;2.67;;
0;B1;2.65;;
0;B2;2.71;;
0;B3;2.67;;
0;B4;2.69;;
0;B5;2.67;;
;;;211.80;1.20
0;B0;1.88;;
0;B1;1.82;;
0;B2;1.91;;
0;B3;1.73;;
0;B4;1.82;;
0;B5;1.77;;
;;;212.61;40.13
0;B0;2.25;;
0;B1;2.21;;
0;B2;2.36;;
0;B3;2.20;;
0;B4;2.24;;
0;B5;2.20;;
;;;217.15;14.25
0;B0;2.23;;
0;B1;2.18;;
0;B2;2.27;;
0;B3;2.16;;
0;B4;2.21;;
0;B5;2.19;;
;;;220.64;19.42
0;B0;2.74;;
0;B1;2.73;;
0;B2;2.79;;
0;B3;2.73;;
0;B4;2.76;;
0;B5;2.73;;
;;;223.14;0.00
0;B0;2.55;;
0;B1;2.56;;
0;B2;2.60;;
0;B3;2.50;;
0;B4;2.55;;
0;B5;2.51;;
;;;230.09;8.09
0;B0;2.57;;
0;B1;2.54;;
0;B2;2.61;;
0;B3;2.55;;
0;B4;2.54;;
0;B5;2.54;;
;;;234.02;8.97
0;B0;2.38;;
0;B1;2.34;;
0;B2;2.42;;
0;B3;2.34;;
0;B4;2.37;;
0;B5;2.35;;
;;;238.36;11.31
0;B0;2.61;;
0;B1;2.61;;
0;B2;2.68;;
0;B3;2.61;;
0;B4;2.64;;
0;B5;2.61;;
;;;238.84;7.09
0;B0;2.72;;
0;B1;2.71;;
0;B2;2.77;;
0;B3;2.72;;
0;B4;2.73;;
0;B5;2.70;;
;;;241.75;0.00
0;B0;2.00;;
0;B1;1.93;;
0;B2;2.04;;
0;B3;1.88;;
0;B4;1.98;;
0;B5;1.93;;
;;;246.42;28.41
0;B0;1.87;;
0;B1;1.78;;
0;B2;1.90;;
0;B3;1.75;;
0;B4;1.82;;
0;B5;1.78;;
;;;248.62;34.69
0;B0;1.94;;
0;B1;1.85;;
0;B2;1.95;;
0;B3;1.79;;
0;B4;1.88;;
0;B5;1.70;;
;;;250.04;35.47
0;B0;2.20;;
0;B1;2.15;;
0;B2;2.25;;
0;B3;2.14;;
0;B4;2.18;;
0;B5;2.15;;
;;;255.37;20.69
0;B0;1.85;;
0;B1;1.77;;
0;B2;1.86;;
0;B3;1.72;;
0;B4;1.79;;
0;B5;1.75;;
;;;260.18;36.74
0;B0;1.91;;
0;B1;1.84;;
0;B2;1.94;;
0;B3;1.80;;
0;B4;1.88;;
0;B5;1.83;;
;;;265.15;30.02
0;B0;2.07;;
0;B1;2.02;;
0;B2;2.09;;
0;B3;2.00;;
0;B4;2.04;;
0;B5;2.00;;
;;;269.16;23.58
0;B0;2.69;;
0;B1;2.69;;
0;B2;2.74;;
0;B3;2.69;;
0;B4;2.71;;
0;B5;2.68;;
;;;270.00;0.00
0;B0;2.73;;
0;B1;2.72;;
0;B2;2.77;;
0;B3;2.73;;
0;B4;2.75;;
0;B5;2.72;;
;;;270.00;0.00
0;B0;2.77;;
0;B1;2.75;;
0;B2;2.81;;
0;B3;2.77;;
0;B4;2.78;;
0;B5;2.75;;
;;;270.00;0.00
0;B0;2.57;;
0;B1;2.61;;
0;B2;2.61;;
0;B3;2.60;;
0;B4;2.64;;
0;B5;2.60;;
;;;270.01;7.09
0;B0;2.11;;
0;B1;2.05;;
0;B2;2.08;;
0;B3;1.99;;
0;B4;2.01;;
0;B5;2.03;;
;;;272.72;26.14
0;B0;1.97;;
0;B1;1.90;;
